X-coord	time
3.750978	0.01587
3.758192	0.0254
3.765718	0.03333
3.773247	0.04762
3.780463	0.06032
3.787989	0.06825
3.795516	0.07778
3.803043	0.08571
3.810256	0.09365
3.817783	0.10317
3.825311	0.1127
3.832838	0.12222
3.840052	0.13333
3.845443	0.29048
3.847267	0.14444
3.84827	0.30476
3.848883	0.26984
3.849847	0.33016
3.851698	0.25397
3.854168	0.15714
3.856389	0.2254
3.856438	0.34921
3.861071	0.17302
3.862965	0.20794
3.863655	0.36667
3.870558	0.38413
3.877773	0.39683
3.884676	0.4127
3.891893	0.43016
3.893918	0.79841
3.896423	0.79048
3.897357	0.7746
3.897858	0.45238
3.897975	0.75238
3.898595	0.73333
3.901092	0.70635
3.901944	0.48095
3.9039	0.67302
3.905405	0.5127
3.905726	0.53333
3.905732	0.54921
3.905769	0.64286
3.906387	0.61905
3.907329	0.62381
3.907936	0.57143
3.907945	0.59683
