x	Curve1
0.00534	0.003178
0.04547	0.021477
0.05549	0.038163
0.06214	0.054849
0.0654	0.071537
0.07204	0.088223
0.07531	0.10491
0.07858	0.121597
0.08522	0.138284
0.08849	0.154971
0.09513	0.17099
0.0984	0.187677
0.10167	0.204364
0.10831	0.221051
0.11158	0.237738
0.11484	0.254425
0.12149	0.271111
0.12813	0.287798
0.13477	0.304485
0.14817	0.32117
0.17172	0.335851
0.1885	0.351868
0.20866	0.368552
0.23214	0.391911
0.27258	0.405921
0.29626	0.401912
0.34701	0.388553
0.39102	0.374528
0.42828	0.359168
0.4554	0.343811
0.48253	0.327786
0.50291	0.311762
0.52666	0.295738
0.54366	0.279047
0.56403	0.263023
0.58441	0.246999
0.60479	0.230308
0.62178	0.214285
0.64216	0.198261
0.66254	0.18157
0.67953	0.165547
0.69991	0.149523
0.72366	0.133499
0.75532	0.106886
0.80636	0.090983
0.80905	0.089393
0.83053	0.085151
0.85196	0.087266
0.86581	0.09142
0.89948	0.106767
0.92969	0.135465
0.94309	0.15215
0.95987	0.168167
0.96989	0.184853
0.98329	0.201538
0.99331	0.218224
1.00334	0.234243
1.01674	0.250928
1.02676	0.267614
1.04016	0.284299
1.05019	0.300318
1.06021	0.317004
1.07699	0.333688
1.09039	0.349706
1.1101	0.373843
1.14411	0.397757
1.19131	0.411767
1.24873	0.411756
1.31635	0.402399
1.36373	0.388373
1.40099	0.373682
1.43149	0.358324
1.45862	0.342299
1.48237	0.326274
1.50612	0.31025
1.5265	0.294226
1.54687	0.278202
1.56725	0.261511
1.58762	0.245487
1.60462	0.229464
1.625	0.212773
1.64537	0.196749
1.66238	0.180058
1.68275	0.164034
1.70312	0.148011
1.72688	0.131986
1.78219	0.096639
1.81711	0.086566
1.84661	0.086561
1.87238	0.093245
1.90268	0.108592
1.93623	0.142629
1.94963	0.159315
1.96303	0.175333
1.97643	0.192018
1.98645	0.208704
1.99985	0.225389
2.00988	0.241408
2.0199	0.258093
2.0333	0.274779
2.04332	0.291465
2.05335	0.307483
2.06675	0.324168
2.08015	0.340854
2.09403	0.371021
2.1271	0.390241
2.16078	0.405588
2.22828	0.414253
2.2418	0.412249
2.31279	0.403558
2.36017	0.3902
2.39743	0.375508
2.42793	0.359483
2.45844	0.344124
2.48219	0.3281
2.50256	0.312076
2.52632	0.296052
2.54669	0.279361
2.56707	0.263337
2.58406	0.247314
2.60444	0.230622
2.62482	0.214599
2.64181	0.198575
2.66219	0.181884
2.67919	0.165861
2.70294	0.149837
2.72332	0.133813
2.76605	0.106002
2.80637	0.08904
2.82785	0.084799
2.87221	0.093068
2.90251	0.108416
2.94612	0.153131
2.95952	0.169816
2.9771	0.216692
2.97725	0.194441
2.98509	0.224638
